aX,aY,aZ,gX,gY,gZ
0.266,-1.004,0.777,-6.104,-2.075,-1.953

0.264,-1.002,0.792,-4.089,-2.136,-2.869

0.266,-1.012,0.808,-2.563,-2.319,-3.540

0.266,-1.035,0.823,-0.183,-1.953,-3.662

0.266,-1.052,0.849,2.747,-0.671,-2.808

0.273,-1.076,0.878,6.531,1.282,-1.404

0.281,-1.106,0.909,10.559,3.784,0.244

0.287,-1.128,0.940,16.174,7.202,2.014

0.291,-1.151,0.983,23.071,11.230,3.723

0.290,-1.179,1.026,30.334,14.709,4.456

0.293,-1.229,1.089,36.987,18.066,5.066

0.297,-1.283,1.144,44.006,22.766,7.812

0.294,-1.324,1.179,54.382,27.710,12.146

0.293,-1.344,1.192,67.993,33.508,16.968

0.289,-1.348,1.180,83.801,39.978,23.437

0.281,-1.334,1.165,98.877,46.021,30.334

0.282,-1.323,1.148,111.694,50.903,36.011

0.289,-1.325,1.144,123.352,53.772,39.551

0.297,-1.317,1.128,134.583,55.725,40.100

0.282,-1.310,1.109,147.522,55.908,38.879

0.269,-1.286,1.077,162.048,56.091,38.025

0.273,-1.282,1.029,177.429,55.725,39.185

0.290,-1.264,0.991,193.054,54.565,41.809



0.319,-1.197,0.940,223.755,52.979,42.969

0.327,-1.160,0.891,238.342,51.514,41.931

0.327,-1.111,0.827,252.808,49.377,40.894

0.324,-1.057,0.771,265.015,47.363,39.551

0.318,-1.007,0.722,274.963,45.105,38.147

0.313,-0.969,0.674,284.729,44.067,35.767

0.293,-0.933,0.627,293.945,43.213,33.936

0.267,-0.912,0.552,302.734,40.833,35.095

0.229,-0.865,0.483,307.922,39.978,39.856

0.191,-0.803,0.421,311.096,40.955,48.767

0.162,-0.730,0.349,314.087,43.823,61.707

